bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20240830818,교육정보원 시설환경개선 공사 수의계약 견적제출 안내 공고,133441000,3,121310000,87.745,117086129
20240904761,야생동물 검역시행장 건립사업 (통신),705194000,2,,,
20240905181,야생동물 검역시행장 건립사업 (전기),2293707000,2,,,
20240911750,도계분뇨처리장 내 안전시설물 개선 공사,29487000,3,26806364,87.745,25956700
20240915724,야생동물 검역시행장 건립사업 (소방),201826000,2,,,
20240921266,제약스마트팩토리플랫폼 구축 전기공사,1256411000,2,,,
20240921506,제약스마트팩토리플랫폼 구축 통신공사,424850000,2,,,
20240921791,창원교도소 이전 신축 통신공사,7700570000,2,,,
20240922017,어린이보호구역(문화초외2개소) 노후 철주 교체공사,99030000,3,90027273,87.745,88205260
20240922730,운암지구 수리시설개보수사업 토목기계공사,14834996000,2,,,
20240922987,마른김 가공용수 정수시설(해조류 공동배출 처리시설)사업 토목기계공사,4954946000,2,4504496364,86.745,4318395455
20240923257,경남권 공공어린이재활병원 건립사업 증축공사(건축+조경),9557492942,2,,,
20240924065,미곡 자연재해위험개선지구 정비사업[총괄분],12612377000,3,,,
20240924108,(가칭)명지1고등학교 교사신축 소방공사(계속비),1598754000,3,,,
20240924223,도서관 리모델링 외 철거 전기공사(장기),1298251000,2,,,
20240924875,「사하의집 자율급식 생활관 리모델링 공사」입찰공고,79519000,3,72290000,87.745,70404960
20240925463,용기포항 국가어업지도선부두 축조공사,25077495000,2,,,
20240925619,이목지구 공원 및 녹지 조성공사,18425147000,2,17187100000,0,14950963781
20240926270,청주보호관찰소 청사 증축 전기공사,604390000,2,,,
20240926966,청주 농수산물 도매시장 시설현대화사업 건축공사,53645596000,3,,,
20240927045,(가칭)에코8유치원 교사신축공사(긴급),11912612000,3,,,
20240927416,덕산지구 배수개선사업 토목기계건축공사,10231717000,2,,,
20240928192,대덕구 신청사 건립 통신 공사,7155610000,3,,,
20241000122,평택우체국 건립공사,14287679000,2,,,
20241000279,스키장 노후배관 교체공사,1509926000,2,,,
20241000520,풍동지구 배수개선사업 토목공사,3984009000,2,,,
20241000794,효목동 일원 오수관로 사업,23470895000,3,,,
20241000935,평택보호관찰소 청사 신축공사(건축공사),5943387000,2,,,
20241001297,청주보호관찰소 청사 증축공사(건축),4069774000,2,,,
20241001367,대덕구 신청사 건립 전기공사,10238842000,3,,,
20241001519,군산시 산북배수분구 도시침수 예방사업 전기공사,734817000,3,,,
20241002625,일산병원 건강 통합관리센터 건립공사(전기),5406765000,2,,,
20241002763,일산병원 건강 통합관리센터 건립공사(통신),2401564000,2,,,
20241002982,고대마을 안길 사면 정비공사,33328000,3,,,
20241003000,일산병원 건강 통합관리센터 건립공사(소방),3215444000,2,,,
20241003324,코스콤 안양데이터센터 신축 소방공사,5838000000,2,,,
20241003496,경부선철도 횡단도로 개설공사(토목),43615147000,3,,,
20241003507,동물대체 시험시설 구축사업 시설공사,17612286000,2,,,
20241003697,서벽지구 다목적농촌용수개발사업 토목공사,25269671000,2,,,
20241003884,백운관 작업치료학과 1층 PW 창호 신설공사,18018000,2,16380000,87.745,15827900
20241003959,2024년 경복궁 모두를 위한(무장애) 공간 조성 사업,1166287000,2,,,
20241004036,전북연수원 건립 건축공사,12635661000,2,11670930000,0,10281048904
20241004596,"소래초 그린스마트 미래학교 및 급식소, 수영장 증축공사",19689299000,3,,,
20241004727,[긴급]검단중학교 공간재구조화 개축공사,10736957000,3,,,
20241004890,만인의총 유적종합정비(2단계) 사업 공사(전기-1차),336897000,2,,,
20241004977,장원초등학교 실내놀이공간 조성 공사,78027000,3,70933636,87.745,68765000
20241004982,나라키움 종로복합청사 개발사업 건축공사,36795135000,2,,,
20241005444,전북연수원 건립 전기공사,1968231000,2,,,
20241005462,가금예리 자연재해위험개선지구정비사업,17377937000,3,,,
20241005691,자생식물 종자 공급센터 묘포장 포장 공사,99407000,2,,,
20241005692,(가칭)중리초 신축공사,22986255000,3,,,
20241005702,도서관 리모델링 외 철거 소방공사(장기),339704000,2,,,
20241005705,전북연수원 건립 통신공사,950635000,2,,,
20241005878,덕수궁 관리반 근무환경 개선공사,303245000,2,276396355,0,270057000
20241005881,신호지구 배수개선사업 토목기계공사,7670874000,2,,,
20241005887,경남 항공 국가산업단지(사천지구) 완충저류시설 설치사업,12224882000,3,,,
20241005974,2024년도 부산항 유지준설공사,13719000000,2,,,
20241006040,광주보건대학교 베드로관 및 다윗관 옥상 방수공사,99700000,2,,,
20241006044,진경여고 오수관로개선 및 기타공사,131549000,3,119590000,87.745,116717000
20241006534,(집행대행)수비고등학교 교사동 석면철거공사,39996000,3,,,
20241006558,국립통일정보자료센터 건립 건축공사,14357136000,2,,,
20241006735,슬러지건조시설 가스냉각탑 설비 개선공사,80946000,3,,,
20241006819,서천군 구청사 건축 리모델링 공사,6598860000,3,,,
20241006951,봉계지구 과실전문생산단지 지하수개발공사,143758000,2,,,
20241006967,고지문성지구 과실전문생산단지 지하수개발공사,143758000,2,,,
20241007680,북도면 직원구내식당 증축공사,82984000,3,,,
20241007768,[공동학과-금오공대] DGM 공동학과 자율주행 전공실습실 교육연구환경개선 공사(건축),64300000,2,58454546,87.745,56079500
20241007780,초대지구 저수지준설 개보수사업,196199000,2,,,
20241007813,에코스포츠센터 사우나(목욕탕) 보수 공사 소액수의계약 견적 제출 안내 공고,32000000,3,,,
20241007939,김해서부경찰서 전기차 충전시설 설치 전기공사,56830000,2,,,
20241007985,2024년 농촌자원복합산업화 제조가공시설 신축사업(재공고),922300000,5,,,
20241008238,2024년 숲가꾸기(솎아베기-무육) 사업(기번21) 재공고,52317395,2,,,
20241008271,(집행대행)수비고등학교 교사동 천장개체 및 기타공사,67848000,3,,,
20241008336,광활3지구 배수개선사업 토목기계공사,9986207000,2,,,
20241008361,해람문화관 환경개선 공사,433603000,2,,,
20241008397,해람문화관 환경개선 기계공사,161912000,2,,,
20241008502,탄소저감반도체융합부품 기술지원센터 건축공사(전기),767167000,3,,,
20241008728,포내배수문 방류부 권양기 보수공사,139414000,3,,,
20241008785,(긴급)(가칭)에코4유치원 교사신축 소방공사(계속비),1567397000,3,,,
20241008902,가현마을 농로 확포장공사,76450000,3,,,
20241008938,두물머리 생태학습장 부대공사,128640000,3,,,
20241008939,신촌마을 상수도관로 인입공사,26620000,3,,,
20241008944,천안시 화성 외 1지구 대용량지하수 시설개량공사,64321000,2,,,
20241009054,학교 디지털 네트워크 개선 통신공사,114785000,3,,,
20241009084,대구의료원 통합외래진료센터 건립 사업,35836090000,3,,,
20241009176,남양주다산우체국 건립 기계설비공사,1431383000,2,,,
20241009255,2024년 청와대 산책로 데크 공사,306987000,2,,,
20241009282,"악양 다목적체육관 건립사업(건축, 기계)(총괄)",1458656000,3,,,
20241009577,기업지원 및 KOLAS 인증 관련 장비 가동용 전기간선공사,233811000,3,217580000,0,207826160
20241009596,특고압 자동부하전환개폐기 및 부대설비 교체 공사,44900000,3,,,
20241009613,2024년 오량초등학교 작은학교 교실 재구조화 공사,202290000,3,183900000,87.745,180179770
20241009617,해람문화관 환경개선 전기공사,87386000,2,,,
20241009717,도서관 리모델링 외 철거 건축공사(1차),4922393000,2,,,
20241009743,2024년 산불예방 숲가꾸기사업(기번1),118428000,2,,,
20241009752,수산물위생안전체계 구축사업(새우젓 저온위판장) 전기공사 계약요청,404046000,3,,,
20241009756,비응어촌계 어구 보관창고 개보수 공사,90931000,3,82664546,87.745,
20241009763,"천안동남서 사격장 리모델링 공사(건축, 기계)",85250000,2,77625000,87.745,75140000
20241009781,2024년 산불예방 숲가꾸기사업(기번2),141980000,2,,,
20241009894,국도47호선 포천이동-철원서면 도로건설공사,26388681000,2,24375760000,0,21894881795
20241010104,영북초 교사1동 외부창호 교체공사,346860000,3,315327273,87.745,302676330
20241010136,관세인재개발원 탐지견훈련센터 견사 리모델링 공사(실내건축 및 기계),406899000,2,,,
20241010244,2024년 사회복지법인 회암  개보수 사업,100331550,3,,,
20241010256,"천안직산 도시첨단사업단지 용수공급시설 건설공사(토목, 기계)",2437333000,3,,,
20241010266,2024년 합천 치인리 마애여래입상 보존처리공사,123779000,3,,,
20241010274,무선행정방송망 보수보강 공사,22358000,3,,,
20241010294,합천왕후시장 화장실(동측)리모델링 및 비가리개 교체 공사,115764000,3,,,
20241010298,신대리 경로당 신축공사(건축),438522000,3,,,
20241010412,경충대로(신촌리) 가로등 설치공사(1차),71959000,3,,,
20241010476,다산정보관 노후 화장실 환경개선공사 설비공사,87646000,2,,,
20241010616,대구그린스타트업타운조성 소방 공사,1358729000,3,,,
20241010682,국도4호선 경산 하양-금호 단구간 확장공사,23487040000,2,21622000000,0,19290711283
20241010760,경상중학교 운동장 인조잔디 재조성 공사(긴급),132363000,3,120330000,87.745,115579070
20241010762,종합운동장 노후타워조명 교체 공사,133639000,3,,,
20241010902,솔터축구장 보조경기장 천연잔디 설치공사,808643000,3,,,
20241010912,좌천 주민활력 어울림파크 조성사업 건축공사,20134024000,3,,,
20241010926,부산사상우체국 건립공사,14213309000,2,,,
20241011011,"대화초 교사동 공간재구조화 개축 및 체육관, 급식소 증축공사",6804743000,3,,,
20241011084,"대화초 교사동 공간재구조화 개축 및 체육관, 급식소 증축 전기공사",868519000,3,,,
20241011117,경북여자상업고등학교 영역단위 공간혁신 사업에 따른 기타 토목공사,42324000,3,38476364,87.745,37500100
20241011172,본관동 주차장 태양광발전설비 설치 전기공사,227755000,2,,,
20241011185,여의도공동구 환기설비 설치 전기공사,25794000,3,23449091,87.745,22721490
20241011194,구미정보고등학교 생활관 및 실습동 증축 전기공사(계속비),946275000,3,,,
20241011264,좌천역 폐선부지 기후대응 도시숲 조성사업,1712628000,3,,,
20241011319,포항동성고등학교 청운관 장애인승강기 설치 공사,162921500,3,,,
20241011322,오산우체국 건립 기계설비공사,1931889000,2,1786416891,0,1695914070
20241011329,주문진항 위판장 해수냉각기 설치사업(설비),195745000,2,177950000,85.495,
20241011354,시설공사 소액 수의계약 견적제출 안내 공고(영승마을 진입로 및 안길정비공사),33825000,3,30750000,87.745,29810400
20241011419,국도3호선 김천~의성 등 3개소 일상유지보수공사,100000000,2,,,
20241011426,국도28호선 의성 비안지구 등 2개소 도로정비공사,599000000,2,,,
20241011430,국도5호선 달성 유가지구 등 6개소 도로정비공사,600000000,2,,,
20241011431,충남도립대학교 본관동 리모델링 전기공사,166471000,3,,,
20241011432,국도33호선 고령 쌍림지구 등 2개소 도로정비공사,602000000,2,,,
20241011440,교직원 연립관사 해체 공사,143129000,2,,,
20241011520,하남시 어린이도서관 건립 소방공사,570007000,3,,,
20241011551,2024년 교통사고 잦은 곳 개선공사(대원파출소),65312000,3,59374546,87.745,58534640
20241011572,단대근린공원 보행육교 도색공사,94000000,3,85454546,87.745,83703710
20241011590,2024년 소방용수시설(소화전) 확대설치공사,103664000,3,94240000,87.745,91845850
20241011603,단대어린이집 3층 리모델링 건축(기계) 공사,83040000,3,75490910,87.745,73649000
20241011624,2024년 청년농업인 스마트팜 자립기반 구축사업,400000000,3,363636000,87.745,
20241011744,인천대공원 물놀이장 기반조성사업 전기공사,88946000,3,,,
20241011819,과학도서관 지하1층 LINC3.0 SMART GPU FARM 조성공사(전기),215000000,3,,,
20241011867,인천대공원 물놀이장 기반조성사업 통신공사,29337000,3,,,
20241011891,수소상용차 신뢰 내구 검증센터 건립공사(전기),615341000,3,,,
20241011907,전자정보기기사업단 현장캠퍼스(성서산단) 인테리어 공사,195500000,2,,,
20241011915,(가칭)역삼초중 통합학교 신축공사,22901674000,3,,,
20241012025,2024년 옥산지구 저수지준설 수리시설개보수사업 토목공사,194128000,2,,,
20241012034,농업기술센터 조직배양실 구축공사(기계설비),40390000,3,,,
20241012077,송촌2리 마을안길 정비사업,73940000,3,83509091,87.745,65380459
20241012121,시민스포츠센터 바닥마감재 교체공사,38143000,3,,,
20241012124,구미정보고등학교 생활관 및 실습동 증축 소방공사(계속비),802918000,3,747222728,0,709985780
20241012127,대흥사 천불전 주변 협문 보수 공사,50000000,3,,,
20241012132,남계지구(저수지준설) 수리시설개보수사업 준설 공사,88110000,2,,,
20241012196,옥천 용동 취약지역 생활여건 개조사업 건축공사(마을회관 리모델링),110847000,3,,,
20241012211,교통문화연수원 옥상 및 테라스 철거공사,46789000,3,42535455,87.745,40794000
20241012266,고전초등학교 급식소 현대화 기계설비공사 수의계약 안내공고,134310000,3,122100000,87.745,118877000
20241012270,반성중학교 별관동 내진보강공사 수의계약 안내 공고,319440000,3,290400000,87.745,284463000
20241012274,한국미래산업고등학교 급식실 환기시설 개선공사,240471000,3,,,
20241012286,오동지구 수원공 수리시설개보수사업 토목기계공사,196276000,2,,,
20241012343,토교지구 양지3호 용수지선 보수공사,97799000,2,,,
20241012418,2024년 도시숲 수목관리 하반기 연간단가 공사(남부권),70000000,3,63636364,87.745,61123300
20241012421,창곡천(2단계) 소하천정비사업 토목공사,5115990000,2,4650900000,86.745,4486066110
20241012451,종자기업 공동활용형 종자가공처리센터 구축사업(건축),3775224000,2,,,
20241012547,연동지역 어린이공원 무장애 통합놀이터 조성사업,216751000,3,197046364,87.745,190533890
20241012548,소방교육대 신축 소방공사,237333000,3,215757736,87.745,210105326
20241012570,늘푸른어린이공원 리모델링 사업,122250000,3,,,
20241012577,2024년 소규모 공공시설(남산면 행촌리 512-5 구거 외 1) 정비사업,48945000,3,44495455,87.745,43182660
20241012591,2024 농업생산기반시설 개보수(서면 서상리 산38 농수로)정비사업,102622000,3,93292728,87.745,98850000
20241012649,협회 신사옥 리모델링 공사(건축),3191100000,2,2901000000,86.745,
20241012677,협회 신사옥 리모델링 공사(전기),398200000,2,362000000,87.745,
20241012684,용당1동 공영주차장 주차타워 소방공사,485525000,3,,,
20241012702,협회 신사옥 리모델링 공사(통신),82500000,2,75000000,87.745,
20241012714,협회 신사옥 리모델링 공사(소방),180400000,2,164000000,87.745,
20241012720,수지면 호곡마을하수처리시설 방류관로사업,412973000,3,375430000,87.745,369248000
20241012726,구암동 55-5일원 급경사지 정비공사,22077000,3,20070000,87.745,19323000
20241012790,추풍령주거플랫폼 생활SOC 문화복합시설 건립사업(통신),78738000,3,71580000,87.745,69824700
20241012796,추풍령주거플랫폼 생활SOC 문화복합시설 건립사업(소방),48334000,3,43940000,87.745,43467240
