bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230814779,군포고등학교 B동 화장실 개선공사(건축_기계),160702800,2,146093455,87.745,140707470
20230830546,광주 도시철도 2호선 2단계 8공구 건설공사,158655793000,3,,,
20230830589,광주 도시철도 2호선 2단계 11공구 건설공사,167847260000,3,,,
20230830634,광주 도시철도 2호선 2단계 13공구 건설공사,144273967000,3,,,
20230834463,광주 도시철도 2호선 2단계 10공구 건설공사,115433115000,3,,,
20230834467,광주 도시철도 2호선 2단계 7공구 건설공사,153337925000,3,,,
20230834506,광주 도시철도 2호선 2단계 9공구 건설공사,129296565000,3,,,
20230834526,광주 도시철도 2호선 2단계 12공구 건설공사,173956965000,3,,,
20230834538,광주 도시철도 2호선 2단계 14공구 건설공사,132885655000,3,,,
20230834738,인천광역시교육청학생교육원 숙박체험교육지원시설 증축공사(계속비),12005361000,3,,,
20230906904,경주 읍성 성벽 복원정비공사,14159871000,3,,,
20230907402,평령지구 배수개선사업 토목·건축·기계공사,5942773000,2,,,
20230908462,사파초등학교 교육환경개선(Wee클래스 구축 및 기타공사) 공사 수의계약 안내 공고,35882000,3,32620000,87.745,31193270
20230909357,(가칭)기업고등학교 신축공사,25399643000,3,,,
20230910295,고려제강주식회사 산업전환 공동훈련센터 교육장 설치공사,1487200000,5,1352000000,86.745,1354100000
20230911475,(가칭)운정7초 신축공사,18001014000,3,,,
20230911603,만정중 인조잔디운동장 조성을 위한 토목 공사 견적서 제출 공고,33930000,3,30845455,87.745,30081000
20230912461,거창중학교 교사동 그린스마트 미래학교 개축공사,7549913000,3,,,
20230913414,세동지구 국가관리방조제 개보수사업,4064962000,2,,,
20230913560,동두천초 그린스마트 미래학교 개축 및 리모델링공사,16236650000,3,,,
20230914826,계양산업단지 조성공사,34764693000,2,,,
20230915155,봉담와우복합문화도서관 건립공사(건축),11015109000,3,,,
20230915307,임원항 태풍피해방지 보강공사,22017040000,2,,,
20230917947,화목하수처리구역 회현처리분구 차집관로 정비사업,32582605000,3,,,
20230918107,소새울유치원 이전 부지 조성 및 방공호 철거 공사,71502200,3,,,
20230918760,산외처리분구 하수관로 정비사업,4829565000,3,,,
20230920511,은천지구 마을만들기 자율개발사업 (입찰대행),323605000,3,294186364,87.745,288488420
20230920535,이랑교육지구 마을만들기 자율개발사업(입찰대행),258909000,3,235371819,87.745,228964038
20230920762,연무 하수관로 정비사업(2단계),14899564000,3,,,
20230920875,동백 종합복지회관 건립사업 건축공사,22829196000,3,,,
20230921710,망포1동 행정복지센터 신축공사(전기),642070000,3,583700000,87.745,575286197
20230921797,성남시 재활용선별장 부대토목공사,417290000,3,379354546,87.745,365138180
20230921849,망포1동 행정복지센터 신축공사(소방),591498000,3,537725455,87.745,528702999
20230921895,망포1동 행정복지센터 신축공사(통신),282255000,3,256595455,87.745,247845009
20230922466,수전해시스템 성능시험센터 신축공사,1443043000,3,,,
20230922993,세마중 교실 증축공사(긴급),4646899000,3,,,
20230923484,국립소방연구원 청사 이전 신축사업(건축공사),19974274000,2,,,
20230923593,"하수관로 신설(확충)공사[영도처리구역(동삼, 청학동 일원)]",33350436000,3,,,
20230923774,노숙인재활시설 이리자선원 소방펌프 교체공사,26010000,3,,,
20230923979,SK오션플랜트 컨소시엄 훈련시설 산업전환관 (별관) 증축 건축 공사 등 입찰 공고(긴급),1261960000,3,,,
20230924077,환희리 10번지 일원 아스콘포장공사,45450000,3,,,
20230924101,오창 국민체육센터 건립사업 건축공사,12099871000,3,,,
20230924248,"영주 반다비 체육센터 건립공사(건축, 토목, 조경, 기계설비)",4674456000,3,,,
20230924301,창경궁 관람객화장실 및 방호실 신축공사(건축) 1차,979955000,2,,,
20230924405,대구제일고등학교 교사동 개축 시설공사,15368106000,3,,,
20230924705,"2023년 하반기 광역시도(남구,울주군) 보도정비공사 단가계약",294750000,3,267954546,87.745,260338100
20230924872,봉화산(극동아파트 뒤 놀이터) 보수정비사업,74712000,3,,,
20230925102,5호선 까치산역 승강편의시설 설치공사(64공구-토목),19982708000,3,,,
20230925252,국제캠퍼스 야외체육시설(풋살장) 이전공사 중 조경공사,198000000,2,,,
20230925750,지방도 857호선 순천 쌍낙교 내진보강공사,182670000,3,166063636,87.745,163205960
20230925754,지방도 845호선 보성 원봉교 내진보강공사,142180000,3,129254545,87.745,124410500
20230925759,지방도 830호선 강진 성남교 내진보강공사,217740000,3,197945455,87.745,190887600
20230925783,"국립양묘기술체험교육관 조성사업 건축공사(토목, 기계 포함)",2870482000,2,,,
20230925802,강원 스마트양식클러스터(테스트베드) 시설공사(건축),8969512000,3,,,
20230926285,상수도 신설급수 공사(해룡면 신대리 1800),22738000,3,,,
20230926317,가평썰매장 급수배관 신설공사,43868000,3,,,
20230926441,2023년 원내 건축시설물 도장공사,48000000,2,,,
20230926546,2023년 임도변 덩굴류 제거사업,40228000,3,,,
20230926824,남포면 기초생활거점조성사업 소방공사,35342000,2,,,
20230926829,남포면 기초생활거점조성사업 통신공사,32157000,2,,,
20230926867,공동실험실습관 등 12개동 외부 코킹 공사,88746000,2,80678182,87.745,78389341
20230926931,[민간입찰대행]2023년 여객자동차버스터미널 환경개선공사,199426000,3,,,
20230927069,본원 융합콘텐츠동 및 옥외공간 환경개선공사,145853302,2,132607273,87.745,127927764
20230927108,정선고등학교 교사동 개축공사,7764556000,3,,,
20230927146,"도안2처리분구 하수관로정비사업(토목, 기계)",5727777000,3,,,
20230927192,정선고 교사동 개축 전기공사,1007018000,3,,,
20230927208,2023년 숲가꾸기(산불예방)사업(인제지구),101234000,3,,,
20230927222,"냉천(냉천교,인덕교)재해복구사업",36171850000,3,,,
