bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20231105310,과천과천 공공주택지구(문화재2구역)지장물해체공사,6640238000,3,,,
20231107572,대구성산고등학교 교과교실제 도입 학교공간조성 건축공사 입찰 공고(긴급),890355000,3,809413637,87.745,788859690
20231108498,신현교차로~구.강동중학교(대2-28호) 도로확장공사,18491368000,3,,,
20231109294,내삼지구 하천재해예방사업,10414091000,3,,,
20231111107,경성전자고등학교 맞춤형안심공간구축공사외 기타공사 소액수의 전자견적 공고,117090000,3,106445455,87.745,102899628
20231111692,담헌천문 달빛마당 건립 사업,1735935000,3,,,
20231112846,예산천지구 풍수해생활권 종합정비사업,25223865000,3,,,
20231117833,삼천포여고 특별교실동 드라이비트 해소공사,102322000,3,93020000,87.745,91161000
20231118778,대림3동 공공복합청사 건립공사(건축+토목+기계+조경),7503840000,3,6821672727,85.495,6547255550
20231119418,2021년 통영시 마동항 어촌뉴딜사업 토목공사,7030382000,3,,,
20231119571,(가칭)안성특수학교 신축공사,13236104000,3,,,
20231119916,은혜학교 외벽벽돌(조적)보강 공사,391237000,3,355670000,87.745,346623150
20231119992,"부산 마리나비즈센터 건립공사(건축,토목)",21463417000,3,,,
20231120259,울진군 금음지구 연안정비사업,33364668000,2,,,
20231120309,문화예술회관 건립공사(건축),21265965000,3,,,
20231120779,"국도31호선 입암1교, 2교 개축공사",7404794000,2,,,
20231121301,해동초등학교 그린스마트미래학교 리모델링 및 교사증축공사,6967116000,3,,,
20231121409,대천천 지방하천 재해복구사업,20496070000,3,,,
20231121592,한국폴리텍대학 청주캠퍼스 반도체인력양성센터 건립 공사(건축),6601657000,2,,,
20231121963,내성고등학교 고교학점제 학교공간조성사업 및 지능형과학실 구축 건축공사,998087000,3,,,
20231122173,거제옥포고 옥상 방수 공사 수의계약 안내 공고,54930000,3,49936364,87.745,48377050
20231122302,"국립부여박물관 백제국보관 건립 건축공사(토목, 조경, 기계 포함)",8296438000,2,,,
20231122513,레인보우 어울림센터 조성사업(건축),10350616000,3,,,
20231122871,사상고등학교 그린스마트미래학교 리모델링공사(계속비),6552351000,3,,,
20231122904,초계지구 우수저류시설 설치사업[총괄분],13541507000,3,,,
20231123032,물리관 일원 등 수목 정비사업,77960000,2,70872728,87.745,68017110
20231123096,대천초등학교 그린스마트 미래학교 조성공사,10438458000,3,,,
20231123168,성산 자연재해위험개선지구 정비사업[총괄분],19992513000,3,,,
20231123846,해보초 그린스마트 미래학교 교사동 개축공사,4597470000,3,,,
20231123873,하서1리-1지구 연안정비사업,10847754000,3,,,
20231123912,국도7호선 경주 강동 인동리 교차로 개선공사,5027918000,2,,,
20231124301,의성군 다인폐기물매립시설 조성사업,8905508000,3,,,
20231124359,순천율산초 늘봄학교 공간개선 사업 수의계약 안내 공고,217888000,3,198080000,87.745,192397100
20231124514,성주군 생활폐기물 소각시설 증설 및 전처리시설 설치사업 소방공사,330154000,3,,,
20231124638,입장면 하장리 도시계획도로(중로2-67호) 개설공사,2299800000,3,2090727273,86.745,1995880000
20231124643,고현천(화남지구) 하천재해예방사업,13671007000,3,,,
20231124919,지역균형발전 전략사업,18230146000,3,,,
20231125007,캠프하우즈 도로개설공사,10832093000,3,,,
20231125093,경복궁 영훈당 권역 복원공사,17304536000,2,,,
20231125170,새만금지구 국가산업단지 8공구 매립공사,100928909000,2,,,
20231125515,한국방송통신대학교 경남지역대학 신축공사,7072978000,2,,,
20231126249,하동군 지방상수도 현대화사업 관망정비추가공사,1257992000,3,,,
20231126778,성주군 생활폐기물 소각시설 증설 및 전처리시설 설치사업,9323541000,3,,,
20231127170,연동초등학교 그린스마트스쿨 리모델링 및 교사증축공사,8138478000,3,,,
20231127425,신안군 지역특화 임대형 스마트팜 조성사업 온실 신축 공사,9723272908,2,,,
20231128368,제주시 하우목동권역 어촌뉴딜사업(하우목동항) 조성사업,5315174000,3,,,
20231128729,제주대학교 동물실험센터 신축 기계공사,2173441000,2,,,
20231129204,미남지구 수리시설개보수사업(재해대비) 토목공사,3631884000,2,,,
20231129266,의왕초등학교 교실 가벽 교체 및 음악실 리모델링 공사,156220000,3,142018182,87.745,138716000
20231129513,숭진초 다목적강당 및 급식소 증축공사,2142439000,3,,,
20231129543,2023년 정선군 정수설비 개선공사,257258000,3,,,
20231129679,태백시 2023년 노후상수관로 교체공사,397669000,3,,,
20231129729,무안 스포츠파크 다목적체육관 증축공사,10571264000,3,,,
20231129808,국립춘천병원 정신재활치료시설 증축공사,2291269000,2,,,
20231130024,[긴급]고양일산유 및 일산초 그린스마트스쿨 구축공사,11993393000,3,,,
20231130865,서천군 서면 종합복지회관 건립사업 신축공사 전기,217596000,3,197814546,87.745,192185700
20231130893,강서도서관 가양분관 건립 리모델링공사,7607116000,3,,,
20231131111,메카노바이오활성소재혁신의료기기실증센터 구축(건축),2003939000,2,,,
20231132143,진주교도소 여성수용동 증축공사,4108641000,2,,,
20231132317,양주시 생활자원회수센터 신축공사(건설공사),9058000000,3,,,
20231132525,(재)영화의전당 시네마운틴 8층 고천장 LED등기구 교체공사,60914000,3,55376410,87.745,53572435
20231132615,가칭)광주AI교육원 신축 소방공사,1382227000,3,,,
20231132791,태백 직원숙소 신축(통신)공사,764310000,2,,,
20231132807,태백 직원숙소 신축(소방)공사,925005000,2,,,
20231132956,동인천중학교 그린스마트 미래학교 증개축공사,10588434000,3,,,
20231133089,옥곡 신금지구 풍수해생활권 종합정비사업,19460639000,3,,,
20231133096,신창지구 농업용수 수질개선사업 토목공사(긴급),6288746000,2,,,
20231134280,"경북공고 교육환경개선 석면철거공사(현암관동, 공학관동)",104225000,3,,,
20231134347,고흥동초 그린스마트스쿨 개축공사,9346443000,3,,,
20231134470,가칭)광주AI교육원 신축공사,16988526000,3,,,
20231134570,서산중앙고등학교 학과재구조화 및 신산업 실습환경 구축 공사,411589000,3,374171819,87.745,361617892
20231134590,우성고 야외체육시설 개선공사 소액수의 견적입찰 공고,66000000,3,60000000,87.745,58412400
20231134726,문경시 하수도정비 중점관리지역 도시침수 예방사업,19608439000,3,,,
20231134781,지품초등학교 급식소 조리실 및 유치원 화장실 환경개선공사 견적제출 안내 공고,49588000,3,45080000,87.745,43756060
20231135081,2024년 관내 맨홀정비공사(단가계약),100000000,3,90909091,87.745,90193700
20231135106,2024년 관내 소규모 도로파손지 보수공사(단가계약),120000000,3,109090910,87.745,104547600
20231135231,장림초등학교 다목적강당 및 급식실증축공사,5497422000,3,,,
20231135652,서울이태원초등학교 수영장 기계실 보수공사 및 기타공사,170270000,3,154791000,87.745,151209640
20231135895,대학생 연합기숙사(용산) 신축 전기공사,2365550000,2,2150500000,86.745,2072167800
